"month","year","state","permit","permit_recheck","handgun","long_gun","other","multiple","admin","prepawn_handgun","prepawn_long_gun","prepawn_other","redemption_handgun","redemption_long_gun","redemption_other","returned_handgun","returned_long_gun","returned_other","rentals_handgun","rentals_long_gun","private_sale_handgun","private_sale_long_gun","private_sale_other","return_to_seller_handgun","return_to_seller_long_gun","return_to_seller_other","totals","state_pop","state_race_white","tot_per_cap","perm_per_cap","hg_per_cap","lg_per_cap","others","others_per_cap","summer_months","UR","CI","ss_casualties","ss","licenses_per_cap","restr_laws","year.1","shootings_killed","shootings_injured","shootings_casualties","shootings_events","casualties_per_cap","events_per_cap","many_shooting_cas","many_shooting_events"
"12","2017","Montana",1127,0,4154,6060,249,248,4,4,6,0,420,667,0,11,3,1,0,0,7,13,2,3,0,0,12979,1050493,0.8951,123.551513432265,10.7282961428586,39.543338223101,57.6872002002869,1638,1.55926788660181,0,4.1,0.00204199476113143,0,0,852.913822367212,10,"2017",3,5,8,13,0.00761547197363524,0.0123751419571573,0,0
"12","2017","Nebraska",4660,203,197,3773,32,4,0,0,1,0,6,61,2,7,3,0,0,0,0,4,0,0,0,0,8953,1920076,0.8739,46.6283626273127,24.2698726508742,1.02600105412494,19.6502638437229,323,0.168222507859064,0,2.9,0.00222788125249807,0,0,202.559169532873,18,"2017",5,10,15,38,0.00781219076744879,0.0197908832775369,0,0
"12","2017","Nevada",1994,0,6236,4188,386,349,0,0,0,0,333,139,0,1,0,0,0,0,0,0,0,0,0,0,13626,2998039,0.6514,45.4497089597567,6.6510142129572,20.8002631053165,13.9691311553986,1208,0.40293004860844,0,4.9,0.00344621258062006,0,0,16.7099227194843,12,"2017",28,14,42,36,0.0140091573191676,0.0120078491307151,0,0
"12","2017","New Hampshire",2099,0,5977,3690,155,5,19,0,1,0,0,9,0,69,5,0,0,0,0,6,0,0,0,0,12035,1342795,0.9509,89.6264880342867,15.631574439881,44.5116343149922,27.4799950848789,269,0.200328419453453,0,2.6,0.00172811102914228,0,0,127.823681202268,16,"2017",1,0,1,12,0.000744715313953358,0.0089365837674403,0,0
"12","2017","New Jersey",0,0,4039,5089,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9341,9005644,0.6601,10.3723842514761,0,4.48496520626398,5.65090070182654,213,0.0236518343385548,0,4.7,0.00126438251766636,0,0,32.7540151487223,17,"2017",24,40,64,93,0.00710665444914323,0.0103268572464113,0,0
"12","2017","New Mexico",945,0,8205,7494,556,378,0,7,10,0,443,519,1,45,0,0,0,0,16,15,1,0,0,0,18635,2088070,0.4471,89.2450923580148,4.5257103449597,39.2946596617929,35.8896014022518,1991,0.953512094901033,0,6,0.00185763795714777,2,1,96.501554066674,12,"2017",11,13,24,28,0.0114938675427548,0.0134095121332139,0,0
"12","2017","New York",2757,1222,10187,19662,1329,226,0,2,2,0,71,37,3,26,50,0,2,2,429,300,20,12,8,0,36347,19849399,0.6198,18.3113856495101,1.38895893019229,5.13214531079757,9.90558958485343,3741,0.18846918236668,0,4.7,0.00142408401030458,0,0,56.927768946556,21,"2017",43,54,97,158,0.00488679783201496,0.00795993873668417,0,0
"12","2017","North Carolina",24036,0,2452,25060,1062,264,0,17,24,4,2169,2014,3,0,0,0,4,5,12,70,11,0,2,0,57209,10273419,0.7018,55.6864272741139,23.3963006862662,2.38674194053606,24.3930477283171,5661,0.551033691899454,0,4.5,0.00287434651187279,0,1,33.7425155150393,18,"2017",46,82,128,172,0.0124593380256368,0.0167422354719495,0,0
"12","2017","North Dakota",793,0,2019,3285,104,88,2,3,2,0,61,106,2,0,0,0,0,0,8,52,1,0,0,2,6528,755393,0.9185,86.4185927060484,10.4978468161606,26.7278092330747,43.4872973405896,431,0.570563931622348,0,2.6,0.000658978607043004,0,0,640.106540568949,13,"2017",0,4,4,7,0.00529525690600787,0.00926669958551377,0,0
"12","2017","Ohio",10932,474,34374,27651,1773,1431,0,14,3,1,1260,670,7,41,1,0,0,0,50,36,3,2,1,2,78726,11658609,0.84,67.526065931193,9.37676184182864,29.4837917628081,23.7172376224299,5769,0.494827470412637,0,4.9,0.00127904515411981,0,0,73.5750722920719,11,"2017",65,106,171,224,0.0146672729139471,0.0192132697820126,0,0
"12","2017","Oklahoma",0,0,17164,18071,1365,1168,0,35,23,1,1817,1444,7,0,0,0,0,0,66,71,10,0,2,1,41245,3930864,0.7408,104.926041704826,0,43.6647006866684,45.9720814558835,6010,1.52892595622743,0,4.1,0.00187288845919209,0,0,71.6778804863256,16,"2017",11,35,46,85,0.011702261894586,0.0216237448052133,0,1
"12","2017","Oregon",4602,10,18409,15342,0,1,0,0,0,0,0,0,0,133,40,0,0,0,0,0,0,0,0,0,38537,4142776,0.8351,93.0221667789907,11.1084934353197,44.4363875816602,37.0331391318285,184,0.0444146630182274,0,4.1,0.00517776908817336,0,0,280.315421350322,14,"2017",5,21,26,57,0.00627598499170604,0.0137588901741248,0,0
"12","2017","Pennsylvania",29194,0,57826,19809,59,0,203,0,0,0,0,0,0,497,141,1,0,0,0,0,0,0,0,0,107730,12805537,0.841,84.1276707099437,22.7979506052733,45.1570285572561,15.4690896601993,901,0.0703601887214882,0,4.8,0.00213465478318131,0,0,195.137150437346,15,"2017",57,99,156,209,0.0121822302336872,0.016321064864363,0,0
"12","2017","Rhode Island",0,0,1169,790,94,183,0,0,0,0,1,2,0,0,0,9,0,0,15,4,0,1,1,0,2269,1059639,0.8191,21.4129529018845,0,11.0320590314249,7.45536923423921,310,0.292552463622045,0,4.5,0.00123360351184054,0,0,20.2993661048716,19,"2017",0,2,2,5,0.00188743524917448,0.00471858812293621,0,0
"12","2017","South Carolina",6004,427,14549,14083,900,528,0,11,2,2,1017,627,3,52,4,1,0,0,32,16,2,0,0,0,38260,5024369,0.6616,76.1488656585533,11.9497592633025,28.9568700069601,28.0293903572767,3624,0.721284603101404,0,4.2,0.00206261583255163,0,0,104.211693050411,8,"2017",24,65,89,135,0.017713667129146,0.0268690456453338,1,1
"12","2017","South Dakota",818,0,3537,5348,230,230,0,1,0,0,150,171,1,0,0,0,0,0,9,10,2,0,0,0,10507,869666,0.8807,120.816497367955,9.4059098550478,40.6707862558729,61.4948727442489,804,0.924492851278537,0,3.4,0.00264016304935843,0,0,302.555233848397,13,"2017",0,2,2,8,0.00229973346089188,0.00919893384356753,0,0
"12","2017","Tennessee",19260,0,37860,28825,1984,0,1,0,0,0,0,0,0,42,8,3,0,0,0,0,0,0,0,0,87983,6715984,0.7925,131.005374640559,28.6778527167426,56.3729752780829,42.9199950446576,2038,0.303455160107588,0,3.3,0.00176998006884421,0,0,107.000106015738,16,"2017",41,97,138,137,0.0205479941584137,0.0203990956500194,1,1
"12","2017","Texas",24815,0,70767,66779,4312,3488,0,62,42,8,6325,4276,41,37,7,1,0,0,127,131,14,0,2,2,181236,28304596,0.5241,64.0305906503665,8.76712743047101,25.00194668032,23.592988220005,18875,0.666852831957043,0,4,0.00152688436251847,0,0,53.2839613750361,11,"2017",95,101,196,187,0.00692467046694466,0.006606700904687,0,0
"12","2017","Utah",10954,24,6429,8577,398,0,0,0,2,1,260,298,0,150,97,30,0,0,0,0,0,0,0,0,27220,3101833,0.8531,87.7545631889273,35.3146026881525,20.7264543255552,27.6513919350268,1260,0.406211424019282,0,3.2,0.0029619203600415,0,0,105.268400974521,19,"2017",4,10,14,14,0.00451346026688091,0.00451346026688091,0,0
"12","2017","Vermont",0,0,1722,1824,115,85,1,0,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,3759,623657,0.9612,60.2735157306019,0,27.6113312285439,29.2468456218723,213,0.341533888018574,0,2.9,0.00107090961049394,0,0,92.3696839769296,12,"2017",0,0,0,0,0,0,0,0
"12","2017","Virginia",727,1,31084,25165,3408,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,60398,8470020,0.7013,71.3079780213034,0.858321467954031,36.6988507701281,29.7106736465793,3422,0.404013213664194,0,3.6,0.00144927561598962,0,0,104.303177560384,19,"2017",44,65,109,113,0.0128689188455281,0.0133411727481163,0,0
"12","2017","Washington",14326,56,21090,16101,2466,743,0,12,14,1,1099,831,7,411,98,4,0,0,909,700,50,9,9,1,58937,7405743,0.7888,79.5828318644058,19.3444466004289,28.4778988414802,21.7412351468313,7420,1.00192512756654,0,4.7,0.00255985684132387,0,0,100.858347366361,15,"2017",28,32,60,102,0.00810182043854344,0.0137730947455238,0,0
"12","2017","West Virginia",2207,0,10383,11484,399,515,1,29,15,0,1022,1136,1,4,0,1,0,0,41,33,2,0,0,0,27273,1815857,0.9452,150.193544976284,12.1540407642232,57.1796127117939,63.2428654899587,3199,1.76170260103081,0,5.4,0.00100461216723513,0,0,158.922756582704,12,"2017",9,18,27,33,0.0148690122625295,0.0181732372097583,0,0
"12","2017","Wisconsin",15392,0,15745,14414,1051,38,0,0,2,5,137,201,9,68,34,0,0,0,0,24,0,0,0,0,47120,5795483,0.874,81.3046988490864,26.5586147004486,27.167709749127,24.8710935740817,1569,0.270728082542905,0,3.2,0.00270591776765805,0,0,560.01216809712,20,"2017",15,19,34,66,0.00586663786262508,0.0113881793803899,0,0
"12","2017","Wyoming",435,9,2763,3104,165,120,20,1,4,0,122,169,4,0,0,0,0,0,6,17,0,0,1,0,6940,579315,0.8881,119.796656395916,7.50886823230885,47.6942595996996,53.5805218231877,638,1.10130067407196,0,4.1,0.0047712083571394,0,0,295.516256268179,11,"2017",1,1,2,3,0.00345235321025694,0.00517852981538541,0,0
"11","2017","Alabama",21670,400,9927,11675,292,483,0,15,11,1,1302,1602,4,0,0,0,0,0,11,24,1,0,0,0,47418,4874747,0.7032,97.2727405135077,44.4535890785717,20.3641337694038,23.949960890278,4146,0.850505677525418,0,3.8,0.00166986763358334,0,0,114.924733529761,14,"2017",58,64,122,127,0.0250269398596481,0.0260526341161911,1,1
"11","2017","Alaska",336,7,3132,3244,261,226,0,3,1,0,148,103,0,19,13,0,0,0,9,23,2,0,0,0,7527,739795,0.6758,101.744402165465,4.54179874154327,42.3360525550997,43.8499854689475,815,1.10165653998743,0,7.2,-0.00101818863797121,0,0,366.437999716138,10,"2017",4,7,11,22,0.0148689839752905,0.0297379679505809,0,1
"11","2017","Arizona",5857,459,13763,10322,1092,851,0,11,5,0,1328,679,4,118,10,0,0,0,21,20,0,0,1,0,34541,7016270,0.6378,49.2298614505998,8.34774032356223,19.6158357645872,14.7115205087604,4599,0.655476485369007,0,4.7,0.00272736978043042,0,0,56.8510048786606,14,"2017",34,24,58,51,0.00826650057651715,0.00726881947245474,0,0
"11","2017","Arkansas",2622,723,6981,11574,237,566,41,14,27,0,1129,2088,3,0,0,0,0,0,15,23,2,1,3,0,26049,3004279,0.7855,86.7063278743419,8.72755160223135,23.2368564970164,38.5250504363942,4872,1.62168693386999,0,3.7,0.000976801054467735,0,0,126.641700055155,11,"2017",19,27,46,67,0.0153114940390024,0.022301523926373,1,1
"11","2017","California",54897,0,44710,35910,4241,0,0,0,0,0,507,422,8,0,0,0,0,0,0,0,0,0,0,0,140695,39536653,0.4656,35.5859662678072,13.8850903742408,11.3084939182889,9.08271117436269,5178,0.130967080091479,0,4.5,0.00335442870000957,2,1,22.9248287658543,27,"2017",94,155,249,321,0.00629795344588223,0.00811904841818552,0,0
"11","2017","Colorado",6887,0,23682,17832,1483,1296,0,0,0,0,0,0,0,248,45,0,0,0,0,0,0,0,0,0,51473,5607154,0.7443,91.7987984635343,12.2825233621192,42.2353300801084,31.8022297942949,3072,0.547871522701178,0,3,0.00267042662959227,0,0,78.8399961905808,18,"2017",19,36,55,80,0.00980889770461093,0.0142674875703432,0,0
"11","2017","Connecticut",5096,415,5757,2708,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14334,3588184,0.7745,39.9477841716032,14.2021702343024,16.0443277156355,7.54699313078705,773,0.215429309087828,0,4.5,0.0015639794108635,0,0,33.4104939991929,26,"2017",4,13,17,40,0.00473777264488109,0.0111477003408967,0,0
"11","2017","Delaware",200,0,1802,2244,105,79,8,1,2,0,32,19,2,1,0,0,0,0,48,31,2,0,1,0,4577,961939,0.7253,47.5809796671099,2.07913391597596,18.7329965829434,23.3278825372503,331,0.344096663094022,0,4.5,0.00134205690332845,0,0,47.1932211917803,19,"2017",2,18,20,26,0.0207913391597596,0.0270287409076875,1,1
"11","2017","Florida",19099,0,61694,31631,3585,2622,0,15,3,1,2983,1322,9,317,57,1,0,0,35,22,0,1,0,0,123397,20984400,0.6542,58.8041592802272,9.1015230361602,29.3999351899506,15.0735784678142,10973,0.522912258630221,0,3.9,0.0025645736715898,0,0,16.1488057795315,17,"2017",62,132,194,285,0.00924496292483941,0.013581517698862,0,0
"11","2017","Georgia",18672,0,16298,15244,495,807,0,17,16,1,1850,1465,8,0,0,0,0,0,31,39,6,0,1,0,54950,10429379,0.6266,52.6877007729799,17.90327113436,15.6270090481897,14.6164023764023,4736,0.454101821402789,0,4.5,0.00241966091589241,2,1,152.299863683159,17,"2017",47,85,132,141,0.0126565541438277,0.0135195010172705,0,0
"11","2017","Hawaii",1167,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1171,1427538,0.228,8.20293400245738,8.17491373259416,0,0,4,0.00280202698632191,0,2.1,0.00141413324734962,0,0,7.07862067419571,19,"2017",0,1,1,4,0.000700506746580476,0.00280202698632191,0,0
"11","2017","Idaho",3426,0,4603,6292,310,228,1,2,10,1,328,496,1,44,7,0,0,0,9,11,1,1,1,0,15772,1716943,0.8798,91.8609412193649,19.9540695293903,26.8092767203105,36.6465281608067,1451,0.845106680885737,0,3,0.00343131984843748,0,0,510.256892628352,12,"2017",1,9,10,16,0.00582430517495339,0.00931888827992543,0,0
"11","2017","Illinois",19861,87346,26122,16102,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150588,12802023,0.6783,117.628284217268,15.5139543180011,20.4045876186912,12.5776996338782,88503,6.91320426466973,0,4.9,0.00176671059287514,0,0,110.90629973091,16,"2017",57,205,262,326,0.0204655154892317,0.025464725379731,1,1
"11","2017","Indiana",28638,0,22558,20820,1772,941,13,14,15,2,361,619,12,15,1,0,0,0,55,34,5,0,3,1,75879,6666818,0.8586,113.815916378698,42.9560248982348,33.8362319175355,31.2292910950921,3863,0.579436846783578,0,3.4,0.00226481663726386,0,0,56.0561275259052,16,"2017",37,57,94,114,0.0140996799372654,0.0170996118388113,0,0
"11","2017","Iowa",9062,2843,280,4847,50,6,0,0,0,0,0,58,0,17,5,0,0,0,2,10,2,0,0,0,17182,3145711,0.9271,54.6204021920641,28.8074778643048,0.890100838888251,15.4082813074691,2993,0.951454218140191,0,2.9,0.0021863242038167,0,0,239.195208968656,14,"2017",9,13,22,43,0.00699364944840769,0.0136694057400696,0,0
"11","2017","Kansas",1757,4,7493,9095,474,437,0,3,3,1,671,455,3,29,7,0,0,0,15,11,1,1,0,0,20460,2913123,0.8312,70.2339036147804,6.03132789106399,25.7215366464101,31.2207895100893,2115,0.726024956721704,0,3.5,0.00203029265340327,0,0,122.08341357368,15,"2017",15,22,37,52,0.0127011458149896,0.0178502589832287,0,0
"11","2017","Kentucky",373308,0,12568,13718,365,632,3,18,22,0,1733,2059,4,4,3,0,0,0,26,40,4,1,0,0,404508,4454189,0.8932,908.151854355529,838.105432885762,28.2161354176933,30.7979746705854,4914,1.10323113814883,0,4.5,0.00337439159398123,0,0,109.392080129514,13,"2017",27,46,73,94,0.0163890665618365,0.0211037295453785,1,1
"11","2017","Louisiana",1748,0,13566,16288,780,736,0,9,16,0,1118,1155,4,0,0,0,0,0,31,28,4,0,1,1,35485,4684333,0.6253,75.752513751691,3.73158782691154,28.9603663958134,34.7712257006494,3883,0.828933382831665,0,4.7,0.000183891136965819,0,0,114.522601189967,12,"2017",53,116,169,177,0.0360777083951974,0.0377855289109463,1,1
"11","2017","Maine",554,0,3270,4056,220,180,2,1,1,0,92,145,1,13,7,0,0,0,21,15,0,0,0,0,8578,1335907,0.9653,64.2110566079824,4.14699526239476,24.4777518195503,30.3613949174606,698,0.522491460857679,0,3.1,0.00465630053386867,0,0,163.40957866079,10,"2017",0,2,2,22,0.0014971102030306,0.0164682122333366,0,0
"11","2017","Maryland",2684,0,4453,8436,254,41,0,1,5,1,70,205,2,53,31,0,0,0,0,26,2,1,1,0,16266,6052177,0.6206,26.8762793950012,4.43476785295605,7.35768302876799,13.9387859938663,693,0.114504251941078,0,4.1,-0.00137279465981344,0,0,43.8184474776597,23,"2017",28,58,86,122,0.0142097628671468,0.0201580356952548,0,1
"11","2017","Massachusetts",7323,0,5691,3782,439,158,16,0,0,2,3,5,0,1,3,0,0,0,54,51,15,3,2,0,17548,6859819,0.8186,25.5808498737357,10.6752087773744,8.29613725959825,5.51326500014067,752,0.109623883662237,0,3.5,0.00224517382143485,0,0,36.2718025067425,18,"2017",7,27,34,152,0.00495639899536708,0.0221580190381116,0,1
"11","2017","Michigan",20375,46,14115,18434,549,249,0,2,7,1,12,415,0,85,20,0,0,0,14,22,1,1,2,0,54350,9962311,0.7854,54.5556146560773,20.4520818512893,14.1683992800466,18.5037387409407,1426,0.143139478380067,0,4.7,0.000609782674933612,1,1,192.73971671834,18,"2017",38,48,86,94,0.0086325351617712,0.00943556168844759,0,0
